"id","phase_id","title","description","questions","scoring_rubric"
"1","1","Nervous System Awareness Check-in","Comprehensive assessment of your current nervous system state and trauma responses","[{""id"":""nervous-state"",""type"":""radio"",""options"":[""Calm and regulated"",""Slightly activated"",""Moderately stressed"",""Highly activated"",""Shut down/numb""],""question"":""How does your nervous system feel right now?"",""neuroscience"":""This assesses your autonomic nervous system state. Each option represents different levels of activation in your sympathetic (fight/flight) or parasympathetic (rest/digest) systems.""},{""id"":""body-awareness"",""type"":""text"",""question"":""Where do you feel tension in your body right now?"",""neuroscience"":""Trauma is stored in the body as chronic tension patterns. Identifying these areas helps you understand where your nervous system holds stress.""},{""id"":""hypervigilance"",""type"":""radio"",""options"":[""Rarely"",""Sometimes"",""Often"",""Almost constantly"",""I don't notice myself doing this""],""question"":""How often do you scan your environment for potential threats?"",""neuroscience"":""Hypervigilance is when your amygdala (alarm center) stays constantly activated, scanning for danger even when you're safe.""},{""id"":""sleep-quality"",""type"":""radio"",""options"":[""Deep and restful"",""Light but adequate"",""Restless and interrupted"",""Difficulty falling asleep"",""Frequent nightmares""],""question"":""How would you describe your sleep quality?"",""neuroscience"":""Sleep disturbances indicate an overactive nervous system. Your brain can't enter restorative sleep when it's in survival mode.""},{""id"":""emotional-regulation"",""type"":""radio"",""options"":[""I can usually calm myself down"",""I need time alone to regulate"",""I feel like I'm going to explode"",""I shut down and feel numb"",""I panic and can't think clearly""],""question"":""When you feel overwhelmed, what happens most often?"",""neuroscience"":""This reveals your dominant stress response pattern: fight, flight, freeze, or fawn. Each response involves different brain regions and nervous system activation.""},{""id"":""triggers"",""type"":""checkbox"",""options"":[""Loud noises"",""Crowded spaces"",""Unexpected changes"",""Criticism"",""Feeling trapped"",""Authority figures"",""Conflict"",""Being watched""],""question"":""What are your most common triggers? (Select all that apply)"",""neuroscience"":""Triggers are sensory or emotional cues that activate your amygdala's alarm response, often connected to past traumatic experiences.""},{""id"":""window-tolerance"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Very little"",""Quite a lot""],""question"":""How much stress can you handle before feeling overwhelmed?"",""neuroscience"":""This measures your 'window of tolerance' - the zone where you can handle stress without becoming overwhelmed or shutting down. Trauma narrows this window.""},{""id"":""recovery-time"",""type"":""radio"",""options"":[""A few minutes"",""30 minutes to 1 hour"",""Several hours"",""A full day"",""Several days""],""question"":""After a stressful event, how long does it typically take you to feel calm again?"",""neuroscience"":""Recovery time indicates how efficiently your parasympathetic nervous system can restore balance after stress activation.""}]",
"2","1","Trauma Response Pattern Assessment","Identify your primary trauma responses and understand how they served to protect you","[{""id"":""fight-response"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Never"",""Very often""],""question"":""When threatened or overwhelmed, how often do you become angry, argumentative, or aggressive?"",""neuroscience"":""Fight response involves sympathetic nervous system activation with increased adrenaline and cortisol to prepare for confrontation.""},{""id"":""flight-response"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Never"",""Very often""],""question"":""When threatened or overwhelmed, how often do you feel the need to escape, run away, or avoid the situation?"",""neuroscience"":""Flight response activates your sympathetic nervous system to prepare your body for escape, increasing heart rate and muscle tension.""},{""id"":""freeze-response"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Never"",""Very often""],""question"":""When threatened or overwhelmed, how often do you feel paralyzed, unable to move, or like a deer in headlights?"",""neuroscience"":""Freeze response occurs when your nervous system becomes overwhelmed and temporarily shuts down motor function while maintaining high alert.""},{""id"":""fawn-response"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Never"",""Very often""],""question"":""When threatened or overwhelmed, how often do you become overly compliant, people-pleasing, or self-sacrificing?"",""neuroscience"":""Fawn response involves suppressing your own needs to avoid conflict, often developing when other responses weren't safe or effective.""},{""id"":""response-awareness"",""type"":""radio"",""options"":[""Very aware - I notice immediately"",""Somewhat aware - I notice after a few minutes"",""Barely aware - I realize later"",""Not aware - Others tell me"",""I don't know""],""question"":""How aware are you of your stress responses when they're happening?"",""neuroscience"":""Awareness is the first step in nervous system regulation. The prefrontal cortex needs to observe the amygdala's activation to begin calming it.""},{""id"":""childhood-responses"",""type"":""checkbox"",""options"":[""Fighting back"",""Hiding or running away"",""Freezing up"",""Being extra good/compliant"",""Dissociating or 'leaving' mentally""],""question"":""Which responses do you remember using most as a child?"",""neuroscience"":""Early trauma responses become wired into your nervous system. Understanding these patterns helps you recognize why certain responses feel automatic.""}]",
"3","1","Panic Response Readiness Assessment","Evaluate your current tools and confidence for managing panic responses","[{""id"":""panic-frequency"",""type"":""radio"",""options"":[""Never"",""Rarely (few times per year)"",""Sometimes (monthly)"",""Often (weekly)"",""Very often (daily)""],""question"":""How often do you experience panic attacks or intense anxiety?"",""neuroscience"":""Panic frequency indicates how often your amygdala triggers false alarms. With proper tools, you can retrain your nervous system to be less reactive.""},{""id"":""panic-triggers"",""type"":""radio"",""options"":[""Yes, I know my triggers well"",""Somewhat, I recognize some patterns"",""Not really, they seem random"",""No, I have no idea"",""I don't experience panic""],""question"":""Can you identify what typically triggers your panic responses?"",""neuroscience"":""Trigger awareness activates your prefrontal cortex (thinking brain) which can help regulate your amygdala (alarm brain) over time.""},{""id"":""current-tools"",""type"":""checkbox"",""options"":[""Deep breathing"",""Grounding techniques"",""Progressive muscle relaxation"",""Medication"",""Calling someone"",""Removing myself from the situation"",""Distraction"",""I don't have tools""],""question"":""What tools do you currently use when feeling overwhelmed? (Select all that apply)"",""neuroscience"":""Having multiple regulation tools gives your nervous system options, preventing it from defaulting to old survival patterns.""},{""id"":""tool-effectiveness"",""type"":""radio"",""options"":[""Very effective - they usually work"",""Somewhat effective - they help sometimes"",""Not very effective - they rarely work"",""Not effective - nothing seems to help"",""I don't have strategies""],""question"":""How effective are your current coping strategies?"",""neuroscience"":""Effectiveness depends on matching the tool to your nervous system state. What works in mild stress may not work in high activation.""},{""id"":""confidence-level"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not confident at all"",""Very confident""],""question"":""How confident do you feel about managing your next panic response?"",""neuroscience"":""Confidence activates your prefrontal cortex and can actually prevent panic by reducing anticipatory anxiety.""},{""id"":""recovery-support"",""type"":""radio"",""options"":[""Many people - I have strong support"",""A few people understand"",""One or two people"",""No one really understands"",""I prefer to handle this alone""],""question"":""Who in your life understands your healing journey?"",""neuroscience"":""Social support activates your ventral vagal system (calm and connected state) and provides co-regulation for your nervous system.""}]",
"4","2","Self-Compassion Assessment","Evaluate your current level of self-compassion and identify areas for growth","[{""id"":""self_kindness_1"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""When I fail at something important to me, I become consumed by feelings of inadequacy."",""reverse_scored"":true},{""id"":""self_kindness_2"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""I try to be loving toward myself when I am feeling emotional pain.""},{""id"":""common_humanity_1"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""When things are going badly for me, I see the difficulties as part of life that everyone goes through.""},{""id"":""common_humanity_2"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""When I think about my inadequacies, it tends to make me feel more separate and cut off from the rest of the world."",""reverse_scored"":true},{""id"":""mindfulness_1"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""When I am feeling down I try to approach my feelings with curiosity and openness.""},{""id"":""mindfulness_2"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Almost never"",""Almost always""],""question"":""When something upsets me I get carried away with my feelings."",""reverse_scored"":true},{""id"":""inner_critic"",""type"":""radio"",""options"":[""Very harsh and critical"",""Somewhat critical"",""Neutral"",""Somewhat kind"",""Very kind and understanding""],""question"":""How would you describe your inner voice when you make a mistake?""},{""id"":""emotional_regulation"",""type"":""checkbox"",""options"":[""Criticize myself for feeling this way"",""Remind myself that others have it worse"",""Try to distract myself"",""Acknowledge my feelings with kindness"",""Reach out for support"",""Practice self-care""],""question"":""When you are struggling emotionally, what do you typically do?""},{""id"":""perfectionism"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Strongly disagree"",""Strongly agree""],""question"":""I hold myself to very high standards and am hard on myself when I do not meet them.""},{""id"":""self_acceptance"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Strongly disagree"",""Strongly agree""],""question"":""I accept my flaws and imperfections as part of being human.""}]","{""subscales"":{""mindfulness"":{""items"":[""mindfulness_1"",""mindfulness_2""],""description"":""Balanced awareness of present experience""},""self_kindness"":{""items"":[""self_kindness_1"",""self_kindness_2""],""description"":""How kind and understanding you are to yourself""},""common_humanity"":{""items"":[""common_humanity_1"",""common_humanity_2""],""description"":""Recognition that struggle is part of human experience""}},""self_compassion_levels"":{""low"":{""range"":""10-24"",""description"":""Self-compassion is an area for significant development."",""recommendations"":[""Start with basic self-compassion practices"",""Consider therapy or guided programs"",""Focus on self-kindness fundamentals""]},""high"":{""range"":""37-50"",""description"":""You have a strong foundation of self-compassion. Continue nurturing this valuable skill."",""recommendations"":[""Practice advanced self-compassion techniques"",""Share your self-compassion skills with others"",""Focus on maintaining your practice during difficult times""]},""moderate"":{""range"":""25-36"",""description"":""You have some self-compassion skills but there is room for growth."",""recommendations"":[""Practice daily self-compassion exercises"",""Work on your inner critic"",""Focus on common humanity practices""]}}}"
"5","2","Inner Critic Awareness Assessment","Identify your inner critic patterns and their impact on your well-being","[{""id"":""critic_frequency"",""type"":""radio"",""options"":[""Rarely"",""Sometimes"",""Often"",""Very often"",""Almost constantly""],""question"":""How often do you notice self-critical thoughts?""},{""id"":""critic_triggers"",""type"":""checkbox"",""options"":[""Making mistakes"",""Comparing myself to others"",""Receiving feedback"",""Starting new projects"",""Social situations"",""When things do not go as planned""],""question"":""What situations most commonly trigger your inner critic?""},{""id"":""critic_voice"",""type"":""radio"",""options"":[""Harsh and attacking"",""Disappointed and judgmental"",""Worried and anxious"",""Stern but well-meaning"",""Gentle but concerned""],""question"":""When your inner critic speaks, the tone is usually:""},{""id"":""critic_impact"",""type"":""checkbox"",""options"":[""Makes me procrastinate"",""Causes anxiety and stress"",""Prevents me from trying new things"",""Affects my relationships"",""Lowers my self-esteem"",""Motivates me to do better""],""question"":""How does your inner critic affect your daily life?""},{""id"":""self_talk"",""type"":""radio"",""options"":[""Be very critical and harsh"",""Be somewhat critical"",""Be neutral"",""Be somewhat encouraging"",""Be very kind and supportive""],""question"":""When you talk to yourself, you are more likely to:""},{""id"":""mistake_response"",""type"":""radio"",""options"":[""I am so stupid"",""I should have known better"",""This is frustrating"",""Mistakes happen to everyone"",""I can learn from this""],""question"":""When you make a mistake, your first thought is usually:""},{""id"":""comparison"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Never"",""Always""],""question"":""How often do you compare yourself negatively to others?""},{""id"":""perfectionism_pressure"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Strongly disagree"",""Strongly agree""],""question"":""I feel like I have to be perfect to be worthy of love and acceptance.""}]","{""critic_levels"":{""low"":{""description"":""You have good self-awareness and relatively balanced self-talk"",""recommendations"":[""Maintain your positive self-talk practices"",""Help others develop healthier inner dialogue"",""Focus on advanced self-compassion techniques""]},""high"":{""description"":""Your inner critic is quite active and may be causing significant distress"",""recommendations"":[""Practice compassionate self-talk daily"",""Challenge critical thoughts with evidence"",""Consider therapy for additional support"",""Focus on self-compassion exercises""]},""moderate"":{""description"":""Your inner critic is present but manageable"",""recommendations"":[""Continue building awareness of critical patterns"",""Practice reframing negative self-talk"",""Develop a more compassionate inner voice""]}}}"
"6","2","Emotional Processing Assessment","Assess your relationship with emotions and ability to process them healthily","[{""id"":""emotion_awareness"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Not aware at all"",""Very aware""],""question"":""How aware are you of your emotions as they arise?""},{""id"":""emotion_acceptance"",""type"":""radio"",""options"":[""Try to push them away immediately"",""Feel overwhelmed and consumed"",""Judge myself for feeling this way"",""Try to understand what they mean"",""Accept them as part of being human""],""question"":""When difficult emotions arise, I typically:""},{""id"":""emotion_expression"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Very uncomfortable"",""Very comfortable""],""question"":""How comfortable are you expressing your emotions to others?""},{""id"":""difficult_emotions"",""type"":""checkbox"",""options"":[""Anger"",""Sadness"",""Fear"",""Shame"",""Guilt"",""Disappointment"",""Loneliness"",""Jealousy""],""question"":""Which emotions do you find most difficult to experience?""},{""id"":""emotional_coping"",""type"":""checkbox"",""options"":[""Distract myself"",""Isolate myself"",""Talk to someone"",""Exercise or move my body"",""Practice breathing or meditation"",""Criticize myself for feeling this way""],""question"":""When you feel overwhelmed by emotions, what do you typically do?""},{""id"":""emotional_validation"",""max"":5,""min"":1,""type"":""scale"",""labels"":[""Strongly disagree"",""Strongly agree""],""question"":""I believe all emotions are valid and have important information.""},{""id"":""emotional_intensity"",""type"":""radio"",""options"":[""Overwhelming and uncontrollable"",""Intense but manageable"",""Moderate and balanced"",""Mild and easy to handle"",""Numb or disconnected""],""question"":""My emotions feel:""},{""id"":""emotional_recovery"",""type"":""radio"",""options"":[""Minutes"",""Hours"",""Days"",""Weeks"",""I stay stuck in the emotion""],""question"":""After experiencing strong emotions, how quickly do you usually feel balanced again?""}]","{""emotional_processing_levels"":{""healthy"":{""description"":""You have a healthy relationship with your emotions and good processing skills"",""recommendations"":[""Continue your emotional awareness practices"",""Help others develop emotional intelligence"",""Focus on advanced emotional regulation techniques""]},""developing"":{""description"":""You are developing emotional processing skills with room for growth"",""recommendations"":[""Practice daily emotional check-ins"",""Work on accepting difficult emotions"",""Learn healthy emotional expression techniques""]},""struggling"":{""description"":""Emotional processing is challenging and may benefit from additional support"",""recommendations"":[""Consider therapy or counseling"",""Start with basic emotional awareness exercises"",""Focus on self-compassion during difficult emotions"",""Practice grounding techniques for emotional overwhelm""]}}}"
"7","3","Pattern Awareness Assessment","Evaluate your current level of self-awareness and pattern recognition skills","[{""id"":""awareness_level"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Never aware"",""Always aware""],""question"":""How often do you notice your emotional reactions before they fully take over?""},{""id"":""trigger_recognition"",""type"":""radio"",""options"":[""I have no idea what triggers me"",""I recognize some triggers"",""I know most of my triggers"",""I am very aware of my triggers""],""question"":""How well can you identify what triggers your stress responses?""},{""id"":""pattern_frequency"",""type"":""radio"",""options"":[""Very frequently"",""Often"",""Sometimes"",""Rarely""],""question"":""How often do you find yourself repeating the same unhelpful behaviors?""},{""id"":""story_awareness"",""max"":10,""min"":1,""type"":""scale"",""labels"":[""Not aware at all"",""Very aware""],""question"":""Rate your awareness of the stories you tell yourself about your worth and capabilities""},{""id"":""habit_control"",""type"":""radio"",""options"":[""No control"",""Little control"",""Some control"",""Good control"",""Strong control""],""question"":""How much control do you feel you have over changing unwanted habits?""}]",
