"id","phase_id","title","description","content","type","order"
"1","1","Understanding Your Nervous System States","Learn to recognize your body's alarm system and how trauma affects your nervous system","{""tips"":[""Start with just 2-3 minutes if longer feels overwhelming"",""Use guided meditations or apps if focusing alone is difficult"",""Your nervous system needs consistency, not perfection"",""Practice during calm moments first"",""Notice without judgment - just observe your patterns""],""keyPoints"":[""Your amygdala (alarm system) becomes hyperactive after trauma"",""The prefrontal cortex (rational brain) goes offline during panic"",""Chronic stress shrinks your 'window of tolerance' for managing emotions"",""Your nervous system can be retrained through specific techniques""],""neuroscience"":""Your nervous system has three main states: ventral vagal (safe and social), sympathetic (fight/flight), and dorsal vagal (freeze/shutdown). Trauma keeps you stuck in survival states."",""timeEstimate"":""10 minutes"",""practicalApplication"":""Notice throughout the day: Am I in my calm state, activated state, or shutdown state?""}","educational","1"
"2","1","5-4-3-2-1 Grounding Technique","Interrupt panic responses by engaging your senses and bringing yourself back to the present moment","{""tips"":[""Practice when calm first, then during mild stress"",""Dont worry if you cant find all items"",""Use this anywhere - waiting rooms, cars, home"",""Speak items out loud for stronger grounding"",""Return to this technique whenever you feel overwhelmed""],""steps"":[""Name 5 things you can SEE around you (Look for details, colors, textures)"",""Name 4 things you can TOUCH (Feel different textures, temperatures)"",""Name 3 things you can HEAR (Listen for distant sounds, close sounds)"",""Name 2 things you can SMELL (Take gentle breaths through your nose)"",""Name 1 thing you can TASTE (Or take a sip of water mindfully)""],""neuroscience"":""This technique activates your parasympathetic nervous system by engaging your sensory cortex, which sends calming signals to your amygdala and helps regulate your nervous system."",""timeEstimate"":""5-7 minutes""}","interactive","2"
"3","1","Box Breathing for Nervous System Regulation","Use rhythmic breathing to activate your vagus nerve and calm your nervous system","{""whenToUse"":[""When you notice anxiety rising"",""Before difficult conversations"",""When your heart rate is elevated"",""As a daily practice for nervous system health""],""variations"":[""Try different counting speeds"",""Use hand positions: trace a square while breathing"",""Add visualization: imagine breathing in calm, breathing out tension"",""Practice with eyes open or closed"",""Count on fingers for tactile grounding""],""instructions"":""Breathe in for 4 counts, hold for 4, breathe out for 4, hold for 4. Repeat this cycle."",""neuroscience"":""Box breathing stimulates your vagus nerve, which activates your parasympathetic nervous system. This slows your heart rate, lowers blood pressure, and signals safety to your brain."",""progressions"":[""Beginner: 4-4-4-4 count"",""Intermediate: 6-6-6-6 count"",""Advanced: 8-8-8-8 count""],""timeEstimate"":""5-10 minutes"",""visualization"":""Imagine drawing a box: inhale up one side, hold across the top, exhale down the other side, hold across the bottom""}","interactive","3"
"4","1","Progressive Muscle Relaxation","Release physical tension and teach your body what relaxation feels like","{""tips"":[""Start with larger muscle groups first"",""Hold tension for 5-10 seconds then release completely"",""Notice the contrast between tension and relaxation"",""Do this before bed for better sleep"",""Skip any areas that cause pain""],""benefits"":[""Reduces cortisol (stress hormone) levels"",""Improves body awareness"",""Helps with sleep quality"",""Builds mind-body connection""],""sequence"":[""Feet and calves - curl toes, tense calves"",""Thighs and glutes - squeeze tight"",""Abdomen - pull belly button toward spine"",""Hands and arms - make fists, tense arms"",""Shoulders - lift toward ears"",""Face - scrunch forehead, close eyes tight, clench jaw""],""technique"":""Tense each muscle group for 5 seconds, then release and notice the contrast"",""variations"":[""Quick version: 3 seconds tension, 10 seconds relaxation"",""Extended version: 8 seconds tension, 30 seconds relaxation"",""Sitting version: Focus on upper body only"",""Mini version: Just hands, shoulders, and face for quick relief""],""instructions"":[""Find a comfortable position lying down or sitting in a chair"",""Start with your feet and work your way up your body"",""Tense each muscle group for exactly 5 seconds"",""Release suddenly and notice the feeling of relaxation"",""Take 10-20 seconds to notice the contrast before moving to the next group"",""Focus on the feeling of tension leaving your body""],""neuroscience"":""Trauma lives in the body. Progressive muscle relaxation helps release chronic tension patterns and teaches your nervous system the difference between tension and relaxation."",""timeEstimate"":""15-20 minutes""}","interactive","4"
"5","1","Cold Water Reset Technique","Use cold water to quickly reset your nervous system during intense emotional states","{""tips"":[""Keep a water bottle in the fridge for quick access"",""Use this technique during the peak of panic or overwhelm"",""Practice when calm so you remember during crisis"",""Combine with breathing exercises for enhanced effect"",""Keep ice packs or cold packs handy for emergencies""],""methods"":[""Cold water on wrists and face"",""Hold ice cubes in your hands"",""Splash cold water on face and neck"",""Take a cold shower (if available)""],""science"":""The trigeminal nerve in your face connects directly to your vagus nerve. Cold water stimulation sends immediate calming signals to your brain."",""variations"":[""Cold shower ending"",""Ice cubes on wrists"",""Cold washcloth on face"",""Frozen fruit as ice cubes"",""Cold water bottle held in hands""],""safetyNotes"":[""Don't use if you have heart conditions"",""Start with lukewarm water if very sensitive"",""Use for 30 seconds to 2 minutes maximum""],""instructions"":[""Choose your preferred method based on location and intensity needed"",""Start with lukewarm water if you are sensitive to cold"",""Apply cold water for 30 seconds to 2 minutes maximum"",""Focus on your breathing while using the technique"",""Notice the immediate calming effect on your nervous system"",""Follow up with gentle breathing exercises""],""neuroscience"":""Cold water activates the dive response, rapidly switching your nervous system from sympathetic (fight/flight) to parasympathetic (rest/digest). This technique can stop panic attacks within minutes."",""timeEstimate"":""2-3 minutes""}","interactive","5"
"6","1","Bilateral Stimulation for Emotional Regulation","Use cross-lateral movements to integrate both brain hemispheres and reduce emotional intensity","{""tips"":[""Start slowly if you feel dizzy"",""You can do this seated or standing"",""Focus on the cross-body movement"",""Combine with breathing for better results"",""Practice for 30 seconds to 2 minutes""],""duration"":""Continue for 1-5 minutes until you feel calmer"",""techniques"":[""Butterfly hug: Cross arms over chest, alternately tap shoulders"",""March in place: Lift knees, touch with opposite hand"",""Figure-8 breathing: Trace infinity symbol with finger while breathing"",""Alternating heel-toe walking""],""variations"":[""Seated version: Alternate tapping knees with opposite hands"",""Lying down: Cross arms and alternate tapping sides of body"",""Walking version: Natural cross-lateral arm swinging"",""Eye movements: Look left-right while breathing deeply""],""applications"":[""When feeling overwhelmed by memories"",""After nightmares or flashbacks"",""During therapy sessions"",""As daily nervous system maintenance""],""instructions"":[""Choose the technique that feels most comfortable for you"",""Start slowly and gently - this is not about intensity"",""Focus on the alternating, rhythmic movement"",""Notice any emotions or sensations that arise"",""Continue until you feel a sense of calm or completion"",""Take a few deep breaths when finished""],""neuroscience"":""Bilateral stimulation activates both brain hemispheres simultaneously, mimicking REM sleep patterns. This helps process traumatic memories and reduces emotional charge."",""timeEstimate"":""5-10 minutes""}","interactive","6"
"7","1","Window of Tolerance Assessment","Learn to recognize when you're in your optimal zone versus hyperarousal or hypoarousal","{""tips"":[""Use this assessment several times throughout the day"",""Notice patterns in your window of tolerance"",""Identify specific triggers that push you out of your window"",""Practice self-compassion when you are outside your window"",""Remember that your window can expand with practice""],""variations"":[""Quick check-in: Simple 1-10 scale assessment"",""Detailed version: Journal about each category"",""Body scan version: Focus on physical sensations"",""Relationship version: Notice how others affect your window""],""hypoarousal"":[""Numbness or disconnection"",""Extreme fatigue"",""Depression"",""Difficulty concentrating"",""Feeling hopeless""],""hyperarousal"":[""Racing thoughts"",""Rapid heartbeat"",""Anxiety or panic"",""Hypervigilance"",""Difficulty sleeping""],""instructions"":[""Read through each category and notice which resonates most"",""Rate your current state on a scale of 1-10"",""Identify your personal patterns and triggers"",""Notice what helps you return to your window"",""Create a personal plan for staying in your optimal zone"",""Practice this assessment regularly to build awareness""],""neuroscience"":""Your window of tolerance is the zone where you can handle stress without becoming overwhelmed (hyperarousal) or shutting down (hypoarousal). Trauma narrows this window."",""timeEstimate"":""15 minutes"",""practiceQuestions"":[""Where am I right now on this spectrum?"",""What helps me return to my window?"",""What are my early warning signs?""],""windowOfTolerance"":[""Can think clearly"",""Emotionally balanced"",""Physically relaxed"",""Socially engaged"",""Curious and learning""]}","assessment","7"
"8","1","Creating Your Personal Panic Protocol","Design a personalized action plan for when panic strikes","{""techniques"":[""Breathing technique of choice"",""Grounding method that works best"",""Physical movement or position"",""Self-compassion phrase"",""Safe person to contact if needed""],""neuroscience"":""Having a pre-planned response prevents your prefrontal cortex from going offline during panic. Your amygdala recognizes the familiar pattern and begins to calm more quickly."",""practicePlan"":[""Write your protocol down"",""Practice techniques when calm"",""Keep protocol easily accessible"",""Review and adjust as needed""],""timeEstimate"":""20-30 minutes"",""protocolSteps"":[""NOTICE: 'I'm having a panic response'"",""NORMALIZE: 'This is my nervous system trying to protect me'"",""NURTURE: Choose your go-to calming technique"",""NAVIGATE: Remind yourself this will pass""]}","planning","8"
"12","2","Understanding Self-Compassion Neuroscience","Discover how self-compassion literally rewires your brain for healing","{""tips"":[""Self-compassion is scientifically proven to improve resilience"",""Your brain can be rewired for more self-kindness"",""Criticism activates threat systems, compassion activates care systems"",""Self-compassion improves motivation, not decreases it"",""Practice makes these neural pathways stronger""],""keyPoints"":[""Self-compassion is not self-pity or weakness"",""It activates the same neural pathways as receiving compassion from others"",""Self-criticism triggers the brain's threat detection system"",""Compassion releases oxytocin, which counters stress hormones""],""components"":{""mindfulness"":{""practice"":""I notice I am suffering right now"",""definition"":""Acknowledging your pain without being consumed by it"",""neuroscience"":""Mindfulness engages your prefrontal cortex, creating space between you and overwhelming emotions""},""self_kindness"":{""practice"":""May I be kind to myself in this moment"",""definition"":""Treating yourself with the same care you would show a good friend"",""neuroscience"":""Self-kindness activates the caregiving system, releasing oxytocin and reducing cortisol""},""common_humanity"":{""practice"":""This is a moment of suffering. Suffering is part of life."",""definition"":""Recognizing that suffering is part of the human experience"",""neuroscience"":""Understanding shared humanity reduces isolation and activates your social connection systems""}},""instructions"":[""Find a quiet, comfortable space where you will not be interrupted"",""Take three deep breaths to center yourself before beginning"",""Remember this is practice - there are no right or wrong answers"",""Be gentle with yourself throughout this process"",""Take breaks if you feel overwhelmed""],""neuroscience"":""Self-compassion activates the caregiving system in your brain, releasing oxytocin and reducing cortisol. This creates the optimal neurochemical environment for healing trauma."",""timeEstimate"":""15-20 minutes"",""researchFindings"":[""Self-compassion is more predictive of mental health than self-esteem"",""It reduces anxiety and depression more effectively than self-criticism"",""People with higher self-compassion recover faster from trauma"",""Self-compassion training increases gray matter in emotion regulation areas""],""practiceReminders"":[""Start small - even 30 seconds of self-compassion helps"",""Use your name when speaking to yourself kindly"",""Place your hand on your heart during practice"",""Remember: you are worthy of compassion simply because you are human""],""selfCriticismEffects"":[""Activates threat detection system"",""Increases cortisol and inflammation"",""Narrows attention and problem-solving ability"",""Reinforces trauma patterns""],""selfCompassionBenefits"":[""Reduces cortisol and inflammation"",""Increases motivation and resilience"",""Enhances emotional regulation"",""Supports neuroplasticity and healing""]}","interactive","1"
"13","2","The Inner Critic Transformation","Transform your inner critic from enemy to ally through neuroscience-based techniques","{""variations"":[""Rewrite critical thoughts with kind alternatives"",""Create a compassionate inner voice character"",""Use your name when talking to yourself kindly"",""Write encouraging notes to yourself"",""Practice self-compassion breaks throughout the day""],""instructions"":[""Set aside 20-25 minutes for this practice"",""Have a journal or paper nearby for writing"",""Notice any resistance to self-compassion that arises"",""Practice the RAIN technique step by step"",""End by placing your hand on your heart and offering yourself kindness""],""neuroscience"":""Your inner critic developed as a protection mechanism but now activates your threat system unnecessarily. We can rewire this pattern through conscious intervention."",""timeEstimate"":""20-25 minutes"",""rainTechnique"":{""A"":{""name"":""Allow"",""example"":""It's okay that I'm feeling this way"",""practice"":""Let the feelings be present without fighting them""},""I"":{""name"":""Investigate"",""example"":""What do I need right now? What would help?"",""practice"":""Explore with kindness what you need""},""N"":{""name"":""Nurture"",""example"":""May I be kind to myself. May I give myself the compassion I need"",""practice"":""Offer yourself compassion""},""R"":{""name"":""Recognize"",""example"":""I notice I'm being really harsh with myself right now"",""practice"":""Notice when self-criticism arises""}},""critichOrigins"":[""Developed to keep you safe from rejection"",""Internalized critical voices from childhood"",""Hypervigilant attempt to prevent mistakes"",""Misguided strategy to motivate improvement""],""practiceExercises"":[""Write a compassionate letter to yourself"",""Practice the loving-kindness meditation"",""Notice and reframe three critical thoughts daily"",""Create a self-compassion phrase for difficult moments""],""commonCriticThemes"":{""emotions"":{""critic"":""You shouldn't feel this way"",""compassion"":""All emotions are valid information about your needs""},""comparison"":{""critic"":""Everyone else is doing better than you"",""compassion"":""Everyone has struggles you can't see. Your journey is unique""},""productivity"":{""critic"":""You should be doing more"",""compassion"":""Rest is productive. You are human, not a machine""},""perfectionism"":{""critic"":""You have to be perfect or you're worthless"",""compassion"":""Making mistakes is how humans learn and grow""}},""critizVsCompassion"":{""critic"":{""tone"":""Harsh, demanding, fear-based"",""effect"":""Increases stress, decreases motivation"",""language"":""You always..., You never..., You should..."",""brain_area"":""Activates amygdala and threat system""},""compassion"":{""tone"":""Warm, understanding, supportive"",""effect"":""Reduces stress, increases resilience"",""language"":""This is hard..., I understand..., What do you need?"",""brain_area"":""Activates caregiving system and prefrontal cortex""}},""compassionateVoiceDevelopment"":[""Speak to yourself as you would a dear friend"",""Use your name when offering self-compassion"",""Keep your voice tone warm and gentle"",""Focus on support rather than judgment""]}","interactive","2"
"14","2","Somatic Self-Compassion Practice","Use your body as a gateway to cultivating deep self-compassion and nervous system regulation","{""tips"":[""Place both hands on your heart or another soothing location"",""Breathe deeply while offering yourself kindness"",""Use gentle, warm touch like you would comfort a child"",""Notice where you feel tension and breathe kindness there"",""Start with just 30 seconds and build up""],""integration"":[""End with three deep breaths"",""Notice any shifts in your body"",""Acknowledge your courage for practicing"",""Set an intention for carrying this compassion forward""],""instructions"":[""Create a safe, private space for this practice"",""Start by connecting with your body through gentle breathing"",""Use touch only if it feels comfortable and safe"",""Notice any sensations without judgment"",""Honor your boundaries and go at your own pace""],""neuroscience"":""Touch activates your parasympathetic nervous system and releases oxytocin. Combining physical comfort with self-compassion creates powerful healing."",""timeEstimate"":""15-20 minutes"",""somaticApproach"":""The body holds both trauma and the capacity for healing. Through gentle touch and attention, we can access your natural capacity for self-care."",""touchTechniques"":{""self_hug"":{""purpose"":""Mimics being held and comforted"",""practice"":""Hold yourself gently. Say: You are safe and loved"",""description"":""Wrap your arms around yourself""},""heart_hand"":{""purpose"":""Activates caregiving system and oxytocin release"",""practice"":""Feel the warmth and weight of your hand. Say: I am here for you"",""description"":""Place your hand on your heart""},""face_cradle"":{""purpose"":""Provides nurturing touch to highly innervated area"",""practice"":""Feel the support of your hands. Say: You are precious and deserving of care"",""description"":""Cup your face in your hands""},""shoulder_comfort"":{""purpose"":""Offers stability and grounding"",""practice"":""Feel the strength of your hands. Say: You can handle this"",""description"":""Place hands on your shoulders""}},""difficultEmotions"":{""fear"":{""touch"":""Protective hand on belly"",""words"":""I can be scared and still be okay. I am safe in this moment""},""anger"":{""touch"":""Firm but gentle hand on chest"",""words"":""This anger is information. I can listen to it with kindness""},""shame"":{""touch"":""Warm hands on face"",""words"":""I am human and deserving of love, exactly as I am""},""sadness"":{""touch"":""Gentle hand on heart"",""words"":""Tears are healing. I can be with this sadness""}},""bodyAwarenessCheck"":{""after"":""Appreciate any shifts, however small"",""before"":""Notice areas of tension, pain, or numbness"",""during"":""Observe any changes as you practice""},""breathingIntegration"":{""steps"":[""Breathe in: I acknowledge my pain"",""Breathe out: I offer myself kindness"",""Breathe in: I am not alone in this"",""Breathe out: May I be gentle with myself""],""duration"":""5-10 breaths"",""technique"":""Compassionate breathing""},""traumaConsiderations"":[""Start with areas that feel safe"",""If touch feels uncomfortable, try hovering hands near the body"",""Honor your boundaries and go slowly"",""Stop if you feel overwhelmed""]}","interactive","3"
"15","2","Shame Resilience Building","Develop immunity to shame through understanding its neuroscience and building resilience practices","{""tips"":[""Start with small moments of shame recognition - not big trauma"",""Shame thrives in secrecy - sharing reduces its power"",""Name it to tame it - calling shame shame reduces its impact"",""Your shame stories are not facts about who you are"",""Building shame resilience is a practice, not a one-time fix""],""variations"":[""Write shame stories and rewrite them with compassion"",""Practice shame resilience with a trusted friend or therapist"",""Use body movement to release shame energy"",""Create art or music to express and transform shame"",""Practice shame resilience mantras: I am enough, I belong, I am worthy""],""instructions"":[""Approach this work with courage and self-compassion"",""Remember that shame loses power when it is named and shared"",""Take breaks if shame feelings become overwhelming"",""Practice the four Rs: Recognize, Reality-check, Reach out, Speak shame"",""Celebrate your bravery in doing this healing work""],""neuroscience"":""Shame activates the same neural pathways as physical pain and triggers fight/flight responses. Building shame resilience rewires these pathways for healing."",""shameVsGuilt"":{""guilt"":{""focus"":""Behavior and actions"",""effect"":""Motivation to repair"",""definition"":""I did something bad"",""brain_response"":""Activates learning centers, promotes growth""},""shame"":{""focus"":""Identity and self-worth"",""effect"":""Disconnection and hiding"",""definition"":""I am bad"",""brain_response"":""Activates threat system, increases cortisol""}},""timeEstimate"":""25-30 minutes"",""shameGremlins"":{""comparison"":{""message"":""Everyone else has it figured out"",""reality"":""You are comparing your insides to others' outsides"",""practice"":""Focus on your own journey and growth""},""perfectionism"":{""message"":""You have to be perfect or you are worthless"",""reality"":""Perfectionism is a trauma response. Making mistakes is human"",""practice"":""Good enough is good enough""},""approval_seeking"":{""message"":""You need everyone to like you"",""reality"":""Not everyone will like you, and that is okay"",""practice"":""Your worth is not determined by others' opinions""}},""shameTriggers"":[""Perfectionism and not meeting standards"",""Comparison to others"",""Rejection or criticism"",""Feeling different or not belonging"",""Making mistakes publicly"",""Vulnerability and emotional expression""],""shameResilience"":{""recognition"":{""benefit"":""Stops shame from going underground"",""example"":""I notice I am feeling shame right now"",""practice"":""Name shame when it arises""},""reaching_out"":{""benefit"":""Breaks the isolation that feeds shame"",""example"":""I felt ashamed when... Can I tell you about it?"",""practice"":""Share your experience with trusted others""},""speaking_truth"":{""benefit"":""Normalizes the experience and builds connection"",""example"":""This happened, and I felt... It was human"",""practice"":""Tell your story with compassion""}},""bodyShameHealing"":{""practice"":""Breathe into these areas with compassion"",""awareness"":""Notice where shame lives in your body"",""affirmation"":""My body is wise and has protected me"",""common_areas"":[""Chest tightness"",""Stomach churning"",""Shoulders hunching"",""Head hanging""]},""healingAffirmations"":[""I am worthy of love and belonging"",""My imperfections make me human, not broken"",""I can make mistakes and still be good"",""Vulnerability is courage, not weakness""],""shameStoryRewriting"":{""practice"":""When shame arises, ask: What would I tell a friend in this situation?"",""new_story"":""I am human and learning"",""old_story"":""I am fundamentally flawed""},""vulnarbilityPractice"":{""start_small"":""Share something minor that feels vulnerable"",""choose_wisely"":""Share with people who have earned the right to hear your story"",""build_gradually"":""Increase vulnerability as you build trust""},""selfCompassionForShame"":{""mindfulness"":""I notice shame arising and I do not need to be consumed by it"",""self_kindness"":""I can be gentle with myself in this moment of shame"",""common_humanity"":""All humans experience shame. I am not alone in this""}}","interactive","4"
"16","2","Perfectionism to Progress Mindset","Transform perfectionist patterns into healthy striving through neuroscience and mindset shifts","{""tips"":[""Perfectionism is a trauma response - be gentle with yourself"",""Progress over perfection always"",""Good enough is actually good enough"",""Notice perfectionist thoughts without believing them"",""Celebrate B+ work as success, not failure""],""mantras"":[""Progress over perfection"",""Done is better than perfect"",""I am learning and growing"",""Mistakes are stepping stones""],""variations"":[""Set B+ goals instead of A+ goals"",""Practice done is better than perfect"",""Share imperfect work to build tolerance"",""Time-box perfectionist tasks"",""Create perfectionism recovery mantras""],""instructions"":[""Set realistic expectations for this exercise"",""Remember that progress is more valuable than perfection"",""Challenge perfectionist thoughts gently but firmly"",""Focus on B+ goals rather than A+ standards"",""Practice self-compassion when perfectionist voices arise""],""neuroscience"":""Perfectionism activates your threat system constantly, keeping you in chronic stress. A progress mindset engages your learning centers and growth networks."",""timeEstimate"":""20-25 minutes"",""mindsetShifts"":{""from_fixed_to_growth"":""From: I should know this already. To: I can learn this"",""from_failure_to_feedback"":""From: I failed, I am worthless. To: This is information for growth"",""from_perfect_to_progress"":""From: I must do this perfectly. To: I can learn and improve"",""from_all_or_nothing_to_spectrum"":""From: It is either perfect or terrible. To: There is a whole spectrum of good""},""perfectionism"":{""definition"":""Setting unrealistically high standards and being self-critical when they are not met"",""brain_effect"":""Keeps you in chronic fight/flight, blocking creativity and learning"",""trauma_connection"":""Often develops as a protection strategy against criticism or rejection""},""progressMindset"":{""benefits"":[""Reduced anxiety and stress"",""Increased creativity and innovation"",""Better resilience and adaptability"",""Stronger relationships""],""definition"":""Focusing on growth, learning, and improvement rather than flawless outcomes"",""brain_effect"":""Activates learning centers and neuroplasticity""},""progressPractices"":{""embrace_drafts"":""First attempts are meant to be imperfect"",""start_before_ready"":""Begin before you feel fully prepared"",""learn_from_mistakes"":""Mistakes are data, not judgments"",""celebrate_small_wins"":""Acknowledge progress, not just completion""},""perfectionism_types"":{""self_oriented"":{""signs"":[""All-or-nothing thinking"",""Procrastination due to fear of failure"",""Difficulty celebrating achievements""],""healing"":""Practice good enough is good enough"",""description"":""Demanding perfection from yourself""},""other_oriented"":{""signs"":[""Criticism of others mistakes"",""Impatience with learning curves"",""Relationship strain""],""healing"":""Embrace others humanity and growth process"",""description"":""Demanding perfection from others""},""socially_prescribed"":{""signs"":[""Constant worry about judgment"",""Overworking to prove worth"",""Fear of disappointing others""],""healing"":""Reality-test these beliefs and set boundaries"",""description"":""Believing others expect perfection from you""}},""practicalStrategies"":{""time_boxing"":""Set time limits for tasks to prevent endless perfecting"",""draft_mentality"":""Label work as drafts to reduce pressure"",""mistake_budgets"":""Expect and plan for some mistakes"",""feedback_seeking"":""Ask for input early and often""},""perfectionismTriggers"":[""Starting new projects"",""Receiving feedback"",""Making mistakes publicly"",""Comparing to others"",""Time pressure""],""perfectionism_recovery"":{""reduce"":""Lower the bar to achievable"",""reward"":""Celebrate progress and effort, not just outcomes"",""recognize"":""Notice perfectionist thoughts and feelings"",""reality_check"":""Ask: Is this standard realistic and helpful?""},""selfCompassionForPerfectionism"":{""when_comparing"":""Everyone is on their own journey. I can appreciate others without diminishing myself"",""when_procrastinating"":""I am scared of not being good enough. That is understandable. I can try anyway"",""when_things_go_wrong"":""This is hard. Making mistakes is human. May I be kind to myself""}}","interactive","5"
